Codelist ID,Concept ID
CL_ACTIVITY,ACTIVITY
CL_AGE,AGE
CL_AGENCY,AGENCY
CL_AREA,COUNTERPART_AREA
CL_AREA,REF_AREA
CL_BASE_PER,BASE_PER
CL_BASE_WEIGHT,BASE_WEIGHT
CL_CIVIL_STATUS,CIVIL_STATUS
CL_COFOG; CL_COICOP; CL_COPNI; CL_COPP,EXPENDITURE
CL_CONF_STATUS,CONF_STATUS
CL_CURRENCY,CURRENCY
CL_DECIMALS,DECIMALS
CL_EDUCATION_LEVEL,EDUCATION_LEV
CL_FREQ,FREQ_COLL
CL_FREQ,FREQ_DISS
CL_FREQ,FREQ
CL_OBS_STATUS,OBS_STATUS
CL_OCCUPATION,OCCUPATION
CL_ORGANISATION,COMPILING_ORG
CL_ORGANISATION,DATA_PROVIDER
CL_ORGANISATION,REP_AGENCY
CL_PRICE_ADJUST,PRICE_ADJUST
CL_SEASONAL_ADJUST,SEASONAL_ADJUST
CL_SEX,SEX
CL_TIME_FORMAT,TIME_FORMAT
CL_TIME_PER_COLLECT,TIME_PER_COLLECT
CL_TRANSFORMATION,TRANSFORMATION
CL_UNIT_MEASURE,UNIT_MEASURE
CL_UNIT_MULT,UNIT_MULT
CL_VALUATION,VALUATION
